experiment,image_filename,layer,coverage,center_dist
best-t1,Tardigrade_011_0065.png,10_C2PSA_Attention,0.14268489,0.05601717069995037
best-t1,Tardigrade_011_0065.png,16,0.67626095,0.10466144932432662
best-t1,Tardigrade_011_0065.png,19,0.06251156,0.12459055162799762
best-t1,Tardigrade_011_0065.png,22,0.16306065,0.08080641389296969
best-t1,Tardigrade_011_0063.png,10_C2PSA_Attention,0.49319294,0.18334801745259674
best-t1,Tardigrade_011_0063.png,16,0.5021952,0.1989963247552118
best-t1,Tardigrade_011_0063.png,19,0.08366287,0.10033942549150644
best-t1,Tardigrade_011_0063.png,22,0.15046859,0.13442321547158542
best-t1,Tardigrade_011_0010.png,10_C2PSA_Attention,0.43971476,0.1688183180041554
best-t1,Tardigrade_011_0010.png,16,0.33519575,0.21913403767167133
best-t1,Tardigrade_011_0010.png,19,0.1711915,0.20132799814772998
best-t1,Tardigrade_011_0010.png,22,0.19932304,0.13731242587041262
best-t1,Tardigrade_012_0002.png,10_C2PSA_Attention,0.47806874,0.09635753884734885
best-t1,Tardigrade_012_0002.png,16,0.5730678,0.08837302849314703
best-t1,Tardigrade_012_0002.png,19,0.7143104,0.1364430301677746
best-t1,Tardigrade_012_0002.png,22,0.18558925,0.06133653124180531
best-t1,Tardigrade_011_0080.png,10_C2PSA_Attention,0.5471252,0.17225785731962975
best-t1,Tardigrade_011_0080.png,16,0.1813226,0.19085023118265323
best-t1,Tardigrade_011_0080.png,19,0.124324344,0.35656393760266697
best-t1,Tardigrade_011_0080.png,22,0.2446102,0.12597950912392644
best-t1,Tardigrade_011_0005.png,10_C2PSA_Attention,0.5248139,0.10485701430509832
best-t1,Tardigrade_011_0005.png,16,0.49134436,0.12603394142301266
best-t1,Tardigrade_011_0005.png,19,0.17138673,0.14072000121904024
best-t1,Tardigrade_011_0005.png,22,0.22592187,0.1186931477591454
best-t1,Tardigrade_011_0016.png,10_C2PSA_Attention,0.41325766,0.06728842145158581
best-t1,Tardigrade_011_0016.png,16,0.25687438,0.2103337195205772
best-t1,Tardigrade_011_0016.png,19,0.09777793,0.16585441970665846
