experiment,layer,coverage,center_dist,num_samples
best-t1,ALL_LAYERS_MEAN,0.33092004,0.18130155605061427,228
best-t1,10_C2PSA_Attention,0.43583286,0.1728713481191492,57
best-t1,16,0.37076288,0.18273182892117887,57
best-t1,19,0.37387487,0.20723307650525913,57
best-t1,22,0.14320973,0.1623699706568699,57
best-t2.1-alpha,ALL_LAYERS_MEAN,0.20078258,0.2009554945838079,228
best-t2.1-alpha,10_C2PSA_Attention,0.25758326,0.2050419193360431,57
best-t2.1-alpha,16,0.24946952,0.1939627478441752,57
best-t2.1-alpha,19,0.23496729,0.19717838414681677,57
best-t2.1-alpha,22,0.061110195,0.20763892700819658,57
best-t2.2-gauss,ALL_LAYERS_MEAN,0.2883822,0.18477493131937076,228
best-t2.2-gauss,10_C2PSA_Attention,0.500705,0.19348368222030282,57
best-t2.2-gauss,16,0.22300813,0.18424040665103972,57
best-t2.2-gauss,19,0.27670038,0.19460891680399472,57
best-t2.2-gauss,22,0.1531154,0.16676671960214579,57
best-t2.3-poisson,ALL_LAYERS_MEAN,0.3255533,0.1917994641485719,228
best-t2.3-poisson,10_C2PSA_Attention,0.5278748,0.20756779169211081,57
best-t2.3-poisson,16,0.2227759,0.20820389341191722,57
best-t2.3-poisson,19,0.36279464,0.15993108142291704,57
best-t2.3-poisson,22,0.18876787,0.19149509006734264,57
best-t2.4-pyramid,ALL_LAYERS_MEAN,0.21121952,0.23160674404599665,228
best-t2.4-pyramid,10_C2PSA_Attention,0.28707787,0.2885064297765928,57
best-t2.4-pyramid,16,0.27273756,0.20447525138706021,57
best-t2.4-pyramid,19,0.20324975,0.19562849214503325,57
best-t2.4-pyramid,22,0.08181294,0.2378168028753004,57
best-t3-multi,ALL_LAYERS_MEAN,0.27337602,0.24024871357036953,228
best-t3-multi,10_C2PSA_Attention,0.27157024,0.3400474961519521,57
best-t3-multi,16,0.26308975,0.21855565536171492,57
best-t3-multi,19,0.30913097,0.22938689817437868,57
best-t3-multi,22,0.24971326,0.17300480459343232,57
